undefined"id","empresa","dados"
1,"          TRANSPORTAL -LOGIST.TRANSP.LTDA.   Rua Sd. An�sio Ant�o Ferreira, 272 S�o Paulo - SP - P.N.Mundo  - CEP:02142-000   Telefones: (11) 2955-4455 -   Fax: 2955-4455   CNPJ/CPF: 06.976.923/0002-40 Inscr. Est.: 142.119.016.112   transportal@transportal-br.com.br www.transportal-br.com.br      ","""id","empresa","dados"
2,"          BESTGROUP -SOLU��ES INTELIGENTES      Rua Rio Verde, 1829 S�o Paulo - SP - Vl. Bruna  - CEP:02934-000   Telefones: (11) 2476-1166 - 2476-1616 -   CNPJ/CPF: 09.537.653/0002-60 Inscr. Est.: 146.919.709.119   cotacao@BestGroup.com.br www.BestGroup.com.br        transporta:      ","""id","empresa","dados"
3,"          LUNA EXPRESS -OKSMAN TR.LOG.LTDA.   Rua P-ten. Aviador Jo�o Maur�cio Campos Medeiros, 186 Guarulhos - SP - Ponte Grande  - CEP:07030-150   Telefones: (11) 2304-7531 - 2304-7532 - 2304-7530 - 2304-7522 - (11) 7875-0830 - 7901-3911 -7832-9486   CNPJ/CPF: 07.239.756/0001-37 Inscr. Est.: 117.000.686.114   contato@lunaexpress.com.br www.lunaexpress.com.br      ","""id","empresa","dados"
4,"          PEXLOG   Rua Bela Vista do Paraiso, 1782 G. 11 Guarulhos - SP - Jd.N.Portugal  - CEP:07171-000   Telefones: (11) 4218-1993 - 2229-2330 - (11)96775-4427   CNPJ/CPF: 06.318.618/0003-42 Inscr. Est.: 336.839.077.115   erenilson.laranjeira@pexlog.com.br www.pexlog.com.br      ","""id","empresa","dados"
5,"          TADEX -TRANSPORTES   Rua S�o Quirino, 294 S�o Paulo - SP - V. Guilherme  - CEP:02056-070   Telefones: (11) 2207-1978 - 2207-2098 - 2207-2385 - - 3628-9810 - 3628-6810   CNPJ/CPF: 60.652.120/0002-86 Inscr. Est.: 115.573.892.118   comercialsp@tadex.com.br www.tadex.com.br      ","""id","empresa","dados"
6,"          ATUAL -SERV.TRANSP.R�P.LTDA.   Rua Ver. Joaquim Pereira Barbosa, 800 Cajamar - SP - Jordan�sia  - CEP:07776-450   Telefones: (11) 4898-8200 -   Fax: 4447-4484   CNPJ/CPF: 00.026.360/0001-62 Inscr. Est.: 241.017.460.118   atual@transatual.com.br www.transatual.com.br      ","""id","empresa","dados"
7,"          TRANSWELL'S -EXP.RODOV.LTDA.   Rua Eli, 13 S�o Paulo - SP - Vila Maria  - CEP:02114-010   Telefones: (11) 2632-0322 -   Fax: 2955-9321   CNPJ/CPF: 60.157.377/0001-80 Inscr. Est.: 112.237.410.117   transwells@transwells.com.br www.transwells.com.br      ","""id","empresa","dados"
8,"          FRILOG -TRANSPORTE-LOG�STICA-DISTR.   Rua Carmine Gaeta, 92 S�o Paulo - SP - V. Guilherme  - CEP:02060-100   Telefones: (11) 2902-1080 -   Fax: 2902-1080   CNPJ/CPF: 06.979.577/0001-73 Inscr. Est.: 149.883.964.110   saopaulo@frilog.com.br www.frilog.com.br      ","""id","empresa","dados"
9,"          JF -TRANSPORTES (A.J.FUCHS)   Rua Dona Maria Quedas, 230 S�o Paulo - SP - P.N.Mundo  - CEP:02175-010   Telefones: (11) 2207-1900 -   Fax: 2207-1900   CNPJ/CPF: 80.845.043/0004-50 Inscr. Est.: 115.476.647.113   thays@jftransportes.com.br www.jftransportes.com.br      ","""id","empresa","dados"
10,"          LAURIMAR -TRANSP.GERAIS LTDA.      Rua Sd. Francisco Franco, 81 S�o Paulo - SP - P. N. Mundo  - CEP:02180-040   Telefones: (11) 2633-1077 -   Fax: 2954-3683   CNPJ/CPF: 44.349.199/0001-33 Inscr. Est.: 110.313.810.119   comercial@laurimar.com.br www.laurimar.com.br      ","""id","empresa","dados"
